Source;Relation;Target
Application Collaboration;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,RealizationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Component
Application Collaboration;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Collaboration
Application Collaboration;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Interface
Application Collaboration;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Funcation
Application Collaboration;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Interaction
Application Collaboration;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Process
Application Collaboration;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Event
Application Collaboration;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Service
Application Collaboration;"CompositionRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship";Data Object
Application Interface;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,RealizationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Component
Application Interface;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Collaboration
Application Interface;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Interface
Application Interface;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Funcation
Application Interface;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Interaction
Application Interface;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Process
Application Interface;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Event
Application Interface;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Service
Application Interface;"CompositionRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship";Data Object
Application Funcation;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,RealizationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Component
Application Funcation;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Collaboration
Application Funcation;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Interface
Application Funcation;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Funcation
Application Funcation;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Interaction
Application Funcation;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Process
Application Funcation;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Event
Application Funcation;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Service
Application Funcation;"CompositionRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship";Data Object
Application Interaction;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,RealizationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Component
Application Interaction;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Collaboration
Application Interaction;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Interface
Application Interaction;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Funcation
Application Interaction;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Interaction
Application Interaction;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Process
Application Interaction;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Event
Application Interaction;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Service
Application Interaction;"CompositionRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship";Data Object
Application Process;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,RealizationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Component
Application Process;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Collaboration
Application Process;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Interface
Application Process;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Funcation
Application Process;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Interaction
Application Process;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Process
Application Process;"CompositionRelationship,FlowRelationship,AggregationRelationship,AssociationRelationship,SpecializationRelationship,TriggeringRelationship,ServingRelationship";Application Event
